"Block.Group.ID","Average.Block.Group.Score","Population","Population.3.Mile","Households.3.Mile","Percent.Kids.under.5","Percent.Kids.under.5.3.Mile","Percent.Kids.5.to.9","Percent.Kids.5.to.9.3 Mile","Average.Age","Household.income.under.40K.3Mile","Household.income.40K.to.50K.3.Mile","Household.income.50K.to.60K.3.Mile","Household.income.60K.to.75K.3.Mile","Household.income.75K.to.100K.3.Mile","Household.income.100:.125K.3.Mile","Household.income.125K.to.150K.3.Mile","Household.income.150K.to.200K.3.Mile","Household.income.200K+.3Mile","Score.Predict"
"530330250052",NA,1942,80405,28943,0.073,0.056,0.043,0.062,35.7,0.124,0.038,0.037,0.082,0.116,0.109,0.085,0.145,0.262,"0.5"
"530670126204",NA,1302,2082,730,0.075,0.07,0.035,0.046,36.3,0.274,0.088,0.058,0.085,0.227,0.138,0.042,0.084,0.004,"0.5"
"530330280002",NA,2049,100175,35912,0.064,0.071,0.125,0.066,35.1,0.306,0.102,0.082,0.094,0.128,0.093,0.073,0.062,0.059,"0.5"
"530330284023",NA,1444,81652,29177,0.085,0.072,0.073,0.064,36.5,0.311,0.112,0.088,0.102,0.126,0.097,0.061,0.054,0.049,"0.5"
"530530723111",NA,1505,97596,39700,0.025,0.066,0.032,0.057,32.7,0.311,0.094,0.081,0.099,0.146,0.096,0.058,0.056,0.059,"0.375"
"530530615003",NA,952,86338,35788,0,0.052,0.05,0.062,31.9,0.342,0.09,0.072,0.098,0.132,0.094,0.057,0.067,0.048,"0.5"
"530530704042",NA,2511,49093,16676,0.073,0.073,0.072,0.075,40.6,0.194,0.063,0.064,0.112,0.168,0.127,0.103,0.098,0.07,"0.5"
"530330049001",NA,1299,285627,131286,0.046,0.047,0.035,0.038,34.9,0.193,0.059,0.059,0.087,0.124,0.107,0.088,0.109,0.173,"0.5"
"530330314003",NA,1459,13996,5818,0,0.04,0.07,0.069,39.6,0.294,0.091,0.118,0.101,0.118,0.098,0.048,0.091,0.04,"0.5"
"530330254001",NA,1481,102924,39637,0.115,0.063,0.078,0.064,37.9,0.214,0.065,0.072,0.108,0.14,0.122,0.068,0.102,0.109,"0.5"
"530330219044",NA,1325,104664,41417,0.095,0.066,0.058,0.063,37.2,0.156,0.052,0.053,0.079,0.128,0.128,0.1,0.133,0.171,"0.5"
"530330323112",NA,1918,32084,11474,0.143,0.057,0.087,0.062,36.8,0.101,0.041,0.037,0.042,0.1,0.135,0.068,0.133,0.342,"0.5"
"530330233004",NA,1619,91453,35028,0.045,0.062,0.028,0.065,40.9,0.17,0.051,0.05,0.078,0.117,0.115,0.076,0.136,0.207,"0.5"
"530330227022",NA,1754,99771,43209,0.04,0.061,0.04,0.051,21.5,0.154,0.038,0.038,0.066,0.105,0.114,0.094,0.132,0.259,"0.5"
"530330217003",NA,1515,61479,24162,0.09,0.065,0.104,0.07,36.8,0.165,0.058,0.057,0.083,0.14,0.101,0.11,0.136,0.149,"0.5"
