Address_Line,City,State,Postal_Code,Property_Type,bg_geo_id,CS_ID,url,Price,SquareFeet,Building_Class,Year_Built,Sale_Type,Picture_url,Upload_Date,Currently_listed,Sale_Lease,old_CS_ID
2512 Holgate St,Tacoma,WA,98402,Industrial,530530616021,LN-15108367,https://www.loopnet.com/Listing/2512-Holgate-St-Tacoma-WA/15108367/,3895000,28800,C,1890,Investment,N/A,2021-02-26,true,Sale,
2365 Tacoma Ave S,Tacoma,WA,98402,Retail,530530616021,LN-22076689,https://www.loopnet.com/Listing/2365-Tacoma-Ave-S-Tacoma-WA/22076689/,665000,2988,C,1958/2010,Investment or Owner User,N/A,2021-02-26,true,Sale,
8217 S Hosmer St,Tacoma,WA,98408,Land,530530635011,LN-18771550,https://www.loopnet.com/Listing/10117-S-Tacoma-Way-Lakewood-WA/18771550/,1190000,,B,N/A,Investment,,,,,LN-18710758
1009-1013 Pacific Ave,Tacoma,WA,98402,Retail,530530616011,LN-20257323,https://www.loopnet.com/Listing/1009-1013-Pacific-Ave-Tacoma-WA/20257323/,3500000,30368,C,1928,Owner User,N/A,2021-02-26,true,Sale,
68317 SR 410 E,Enumclaw,WA,98022,Hospitality,,LN-18337628,https://www.loopnet.com/Listing/68317-SR-410-E-Enumclaw-WA/18337628/,5250000,,B,1960,Investment,N/A,2021-03-02,true,Sale,
25-Year CVS Portfolio,N/A,N/A,N/A,N/A,,LN-17665091,https://www.loopnet.com/Listing/25-Year-CVS-Portfolio/17665091/,84120985,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
16313 60th St E,Sumner,WA,98390,Land,530530733011,LN-17212434,https://www.loopnet.com/Listing/16313-60th-St-E-Sumner-WA/17212434/,799000,,N/A,N/A,OwnerUser,N/A,2021-03-02,true,Sale,
11721 Burnham Dr NW,Gig Harbor,WA,98332,Land,,LN-16845083,https://www.loopnet.com/Listing/11721-Burnham-Dr-NW-Gig-Harbor-WA/16845083/,295000,,N/A,N/A,InvestmentorOwnerUser,N/A,2021-03-02,true,Sale,
18426 Veterans Memorial Hwy,Bonney Lake,WA,98391,Land,,LN-13929508,https://www.loopnet.com/Listing/18426-Veterans-Memorial-Hwy-Bonney-Lake-WA/13929508/,450000,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
176th St,Puyallup,WA,98375,Land,,LN-8895301,https://www.loopnet.com/Listing/176th-St-Puyallup-WA/8895301/,692000,,N/A,N/A,InvestmentorOwnerUser,N/A,2021-03-02,true,Sale,
18404 Veterans Memorial Dr E,Bonney Lake,WA,98391,Land,,LN-6176664,https://www.loopnet.com/Listing/18404-Veterans-Memorial-Dr-E-Bonney-Lake-WA/6176664/,409500,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
