"Block.Group.ID","Average.Block.Group.Score","Population","Population..3.Miles","Households..3.Miles","Kids.under.5","Kids.under.5..3.Miles","Kids.5.to.9","Kids.5.to.9..3.Miles","Average.Age","Household.income.under.40K..3.Mile","Household.income.40K.to.50K..3.Mile","Household.income.50K.to.60K..3.Mile","Household.income.60K.to.75K..3.Mile","Household.income.75K.to.100K..3.Mile","Household.income.100K.to.125K..3.Mile","Household.income.125K.to.150K..3.Mile","Household.income.150K.to.200K..3.Mile","Household.income.200K...3.Mile","Predicted.Score"
530670109101,NA,3686,46996,20440,0.046,0.048,0.083,0.05,33.2,0.326,0.1,0.088,0.087,0.137,0.096,0.069,0.048,0.049,4.43249203180433
530670109102,NA,524,48800,21614,0.032,0.047,0.031,0.048,35.5,0.342,0.091,0.086,0.097,0.131,0.094,0.065,0.048,0.046,4.50904344150374
530670109103,NA,1631,56748,24561,0.058,0.047,0.015,0.051,34.1,0.31,0.096,0.09,0.097,0.148,0.102,0.063,0.051,0.044,4.504283380941
530670109104,NA,1787,57555,24904,0.021,0.047,0.05,0.051,29.8,0.308,0.095,0.09,0.098,0.147,0.102,0.063,0.051,0.045,4.5004744262723
530670109201,NA,1548,45620,19646,0.02,0.048,0.044,0.053,57.2,0.309,0.095,0.084,0.091,0.14,0.098,0.069,0.062,0.051,3.96940521732641
530670109202,NA,1126,29560,12417,0.091,0.045,0.04,0.061,38.9,0.273,0.083,0.101,0.085,0.141,0.119,0.074,0.068,0.056,4.51106116183116
530670109203,NA,1661,32368,14006,0.051,0.049,0.061,0.056,51.4,0.346,0.092,0.094,0.088,0.123,0.096,0.068,0.046,0.047,4.16707235930487
530670110001,NA,807,32340,13535,0.015,0.052,0.046,0.047,57.1,0.326,0.093,0.078,0.099,0.146,0.101,0.068,0.044,0.046,3.97554224869866
530670110002,NA,2260,8059,3231,0.084,0.063,0.106,0.076,41.6,0.278,0.079,0.087,0.074,0.139,0.077,0.14,0.07,0.057,4.51108597144257
530670110003,NA,1694,16871,7009,0.037,0.052,0.06,0.065,50.7,0.297,0.067,0.101,0.081,0.149,0.088,0.101,0.065,0.052,4.02927341963964
530670111001,NA,1330,36184,15961,0.011,0.051,0.038,0.04,47.6,0.347,0.087,0.063,0.097,0.139,0.092,0.069,0.047,0.06,3.99937843500244
530670111002,NA,2854,31099,13829,0.05,0.052,0.053,0.036,33.1,0.367,0.093,0.063,0.1,0.14,0.089,0.06,0.049,0.04,4.49984540924522
530670112001,NA,1134,73557,30490,0.031,0.056,0.015,0.058,36.5,0.301,0.086,0.085,0.114,0.143,0.105,0.071,0.057,0.038,4.04070130387518
530670112002,NA,1899,76631,30487,0.081,0.06,0.043,0.063,29.4,0.287,0.087,0.09,0.125,0.156,0.101,0.073,0.051,0.031,4.50711244421774
530670112003,NA,1638,66364,26342,0.031,0.064,0.062,0.064,26,0.291,0.083,0.087,0.124,0.153,0.106,0.07,0.052,0.033,4.4783160702181
530670112004,NA,613,61723,24189,0.02,0.064,0,0.065,63.6,0.292,0.094,0.091,0.13,0.148,0.097,0.065,0.053,0.03,3.90157512705749
530670113001,NA,1864,81959,33279,0.085,0.059,0.095,0.061,33.5,0.275,0.09,0.093,0.121,0.153,0.106,0.068,0.053,0.04,4.51021647490755
