"bg_geo_id","score","model_id","date_obtained"
"530330059005","3","11","2021-03-12"
"530330060001","3","11","2021-03-12"
"530330060002","3","11","2021-03-12"
"530330060003","3","11","2021-03-12"
"530330060004","4","11","2021-03-12"
"530330061001","3","11","2021-03-12"
"530330061002","3","11","2021-03-12"
"530330061003","3","11","2021-03-12"
"530330061004","3","11","2021-03-12"
"530330062001","3","11","2021-03-12"
"530330062002","3","11","2021-03-12"
"530330062003","3","11","2021-03-12"
"530330063001","3","11","2021-03-12"
"530330063002","2","11","2021-03-12"
"530330063003","3","11","2021-03-12"
"530330063004","3","11","2021-03-12"
"530330064001","3","11","2021-03-12"
"530330064002","3","11","2021-03-12"
"530330064003","3","11","2021-03-12"
"530330065001","3","11","2021-03-12"
"530330065002","3","11","2021-03-12"
"530330065003","3","11","2021-03-12"
"530330066001","4","11","2021-03-12"
"530330066002","4","11","2021-03-12"
"530330067001","4","11","2021-03-12"
"530330067002","4","11","2021-03-12"
"530330067003","3","11","2021-03-12"
"530330067004","3","11","2021-03-12"
"530330068001","3","11","2021-03-12"
"530330068002","3","11","2021-03-12"
"530330069001","3","11","2021-03-12"
"530330069002","3","11","2021-03-12"
"530330069003","3","11","2021-03-12"
"530330069004","3","11","2021-03-12"
"530330070001","3","11","2021-03-12"
"530330070002","3","11","2021-03-12"
"530330070003","3","11","2021-03-12"
"530330070004","3","11","2021-03-12"
"530330070005","3","11","2021-03-12"
"530330070006","3","11","2021-03-12"
"530330071001","4","11","2021-03-12"
"530330071002","4","11","2021-03-12"
"530330072001","4","11","2021-03-12"
"530330072002","4","11","2021-03-12"
"530330072003","3","11","2021-03-12"
"530330073001","4","11","2021-03-12"
"530330073002","3","11","2021-03-12"
"530330073003","3","11","2021-03-12"
"530330074011","4","11","2021-03-12"
"530330074012","4","11","2021-03-12"
"530330074013","3","11","2021-03-12"
"530330074014","3","11","2021-03-12"
"530330074021","4","11","2021-03-12"
"530330074022","4","11","2021-03-12"
"530330074023","4","11","2021-03-12"
