CS_ID,Address_Line,url,City,Postal_Code,Property_Type,Year_Built,Price,SquareFeet,$ per sq ft,Sale_Type,Block Group ID,Population,Population: 3 Miles,Households: 3 Miles,Kids under 5,Kids under 5: 3 Miles,Kids 5 to 9,Kids 5 to 9: 3 Miles,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile
LN-21889127,1113-1115 A St,https://www.loopnet.com/Listing/1113-1115-A-St-Tacoma-WA/21889127/,Tacoma,98402,Office,1923,2025000,17000,119,Investment,5.30531E+11,1899,89129,36525,55,4880,8,5710,41.4,0.358,0.087,0.076,0.1,0.133,0.091,0.052,0.061,0.043
LN-21816101,3320 S G St,https://www.loopnet.com/Listing/3320-S-G-St-Tacoma-WA/21816101/,Tacoma,98418,Retail,1946,3000000,19199,156,Owner User,5.30531E+11,930,126636,49311,60,7821,35,8701,30,0.377,0.099,0.089,0.11,0.127,0.092,0.044,0.038,0.024
LN-20886717,4023 S Orchard,https://www.loopnet.com/Listing/4023-S-Orchard-Tacoma-WA/20886717/,Tacoma,98466,Industrial,1980,2807600,23384,120,Investment,5.30531E+11,1699,143376,59266,189,8820,187,8896,31.8,0.343,0.098,0.088,0.107,0.13,0.095,0.051,0.052,0.036
LN-21481019,18407 Pacific Ave S,https://www.loopnet.com/Listing/18407-Pacific-Ave-S-Spanaway-WA/21481019/,Spanaway,98387,Office,1985,2550000,24064,106,Investment,5.30531E+11,792,45375,15749,0,2885,79,3473,48.5,0.251,0.078,0.107,0.132,0.187,0.08,0.078,0.059,0.027
LN-12170475,5804 384th St E,https://www.loopnet.com/Listing/5804-384th-St-E-Eatonville-WA/12170475/,Eatonville,98328,Industrial,N/A,700000,26552,26,OwnerUser,5.30531E+11,2389,2389,903,111,111,181,181,47.7,0.238,0.05,0.059,0.132,0.161,0.151,0.157,0.034,0.019
LN-3726167,1123 Pacific Ave,https://www.loopnet.com/Listing/1123-Pacific-Ave-Tacoma-WA/3726167/,Tacoma,98402,Office,1919/2007,4975000,26804,186,Investment or Owner User,5.30531E+11,1899,89129,36525,55,4880,8,5710,41.4,0.358,0.087,0.076,0.1,0.133,0.091,0.052,0.061,0.043
LN-15108367,2512 Holgate St,https://www.loopnet.com/Listing/2512-Holgate-St-Tacoma-WA/15108367/,Tacoma,98402,Industrial,1890,3895000,28800,135,Investment,5.30531E+11,816,107453,42360,26,6321,9,6903,35.3,0.367,0.096,0.082,0.104,0.127,0.096,0.048,0.049,0.031
LN-20257323,1009-1013 Pacific Ave,https://www.loopnet.com/Listing/1009-1013-Pacific-Ave-Tacoma-WA/20257323/,Tacoma,98402,Retail,1928,3500000,30368,115,Owner User,5.30531E+11,1899,89129,36525,55,4880,8,5710,41.4,0.358,0.087,0.076,0.1,0.133,0.091,0.052,0.061,0.043
LN-22076954,448 E 18th St,https://www.loopnet.com/Listing/448-E-18th-St-Tacoma-WA/22076954/,Tacoma,98421,Industrial,1963,5200000,36000,144,OwnerUser,5.30531E+11,2414,69923,27762,11,3905,6,3940,35,0.319,0.081,0.074,0.1,0.131,0.1,0.07,0.068,0.057
LN-21227269,1720 S 7th St,https://www.loopnet.com/Listing/1720-S-7th-St-Tacoma-WA/21227269/,Tacoma,98405,Industrial,1950,4950000,37450,132,InvestmentorOwnerUser,5.30531E+11,633,107504,45250,62,5912,73,6432,29.5,0.351,0.098,0.073,0.104,0.131,0.089,0.054,0.058,0.042
