CS_ID,url,AddressLine,City,State,PostalCode,GeoCode,PropertyType,Price,SquareFeet,BuildingClass,YearBuilt,SaleType
LN-20257323,https://www.loopnet.com/Listing/1009-1013-Pacific-Ave-Tacoma-WA/20257323/,1009-1013 Pacific Ave,Tacoma,WA,98402,53053061601,Retail,"$3,500,000","30,368 SF",C,1928,Owner User
LN-20204306,https://www.loopnet.com/Listing/Nisqually-Power-Station/20204306/,Nisqually Power Station,N/A,N/A,N/A,,N/A,"$3,650,000",N/A,N/A,N/A,InvestmentorOwnerUser
LN-20107835,https://www.loopnet.com/Listing/8717-Key-Peninsula-Hwy-NW-Lakebay-WA/20107835/,8717 Key Peninsula Hwy NW,Lakebay,WA,98349,53053072602,Land,"$815,000",N/A,N/A,N/A,OwnerUser
LN-20007582,https://www.loopnet.com/Listing/37715-Milton-Rd-S-Milton-WA/20007582/,37715 Milton Rd S,Milton,WA,98354,,Land,"$130,000",N/A,N/A,N/A,OwnerUser
LN-19962444,https://www.loopnet.com/Listing/2412-136th-Ave-Ct-E-Sumner-WA/19962444/,2412 136th Ave Ct E,Sumner,WA,98390,,Retail,"$5,560,000","3,010 SF",C,2020,Investment
LN-19859913,https://www.loopnet.com/Listing/6314-19th-St-W-Fircrest-WA/19859913/,6314 19th St W,Fircrest,WA,98466,,Office(Condo),"$350,000",N/A,C,1985,InvestmentorOwnerUser
LN-19639036,https://www.loopnet.com/Listing/Midland-Commercial-Tacoma-Parkland/19639036/,Midland Commercial - Tacoma/Parkland,N/A,N/A,N/A,,N/A,"$600,000",N/A,N/A,N/A,InvestmentorOwnerUser
LN-19627971,https://www.loopnet.com/Listing/12811-Pacific-Ave-S-Tacoma-WA/19627971/,12811 Pacific Ave S,Tacoma,WA,98444,53053071504,Retail,"$1,470,000",575 SF,C,2020,Investment
LN-19626041,https://www.loopnet.com/Listing/1824-S-Meridian-St-Puyallup-WA/19626041/,1824 S Meridian St,Puyallup,WA,98371,53053073405,Office,"$575,000","1,728 SF",C,1975,Owner User
LN-19374344,https://www.loopnet.com/Listing/2213-N-Warner-St-Tacoma-WA/19374344/,2213 N Warner St,Tacoma,WA,98406,53053060500,Specialty,"$1,100,000",N/A,N/A,1909/1977,InvestmentorOwnerUser
LN-18918096,https://www.loopnet.com/Listing/4412-6th-Ave-Tacoma-WA/18918096/,4412 6th Ave,Tacoma,WA,98406,53053061100,OfficeOfficeGeneral Retail Convenience StoreGeneral Retail RestaurantGeneral Retail Storefront Retail/OfficeOffice,"$695,000","3,648 SF",C,1946/1981,Investment or Owner User
LN-18819368,https://www.loopnet.com/Listing/16313-64th-St-E-Sumner-WA/18819368/,16313 64th St E,Sumner,WA,98390,53053073301,Land,"$950,000",N/A,N/A,N/A,Investment
LN-18771550,https://www.loopnet.com/Listing/10117-S-Tacoma-Way-Lakewood-WA/18771550/,10117 S Tacoma Way,Lakewood,WA,98499,53053071807,Sports&Entertainment,"$8,800,000",N/A,B,2003,Investment
LN-18729587,https://www.loopnet.com/Listing/6722-Yakima-Ave-Tacoma-WA/18729587/,6722 Yakima Ave,Tacoma,WA,98408,53053063100,OfficeOfficeGeneral Retail Daycare CenterGeneral Retail StorefrontGeneral Retail Storefront Retail/OfficeOffice,"$629,900","3,226 SF",B,1920/1994,Investment or Owner User
LN-18710758,https://www.loopnet.com/Listing/8217-S-Hosmer-St-Tacoma-WA/18710758/,8217 S Hosmer St,Tacoma,WA,98408,53053063501,Land,"$1,190,000",N/A,N/A,N/A,Investment
LN-18681813,https://www.loopnet.com/Listing/201-Lake-Louise-Dr-SW-Lakewood-WA/18681813/,201 Lake Louise Dr SW,Lakewood,WA,98498,53053072107,Land,"$399,950",N/A,N/A,N/A,InvestmentorOwnerUser
LN-18591703,https://www.loopnet.com/Listing/5601-Soundview-Dr-Gig-Harbor-WA/18591703/,5601 Soundview Dr,Gig Harbor,WA,98335,53053072407,Retail,"$2,250,000","6,686 SF",B,1982,Owner User
LN-18498353,https://www.loopnet.com/Listing/125-S-Meridian-Puyallup-WA/18498353/,125 S Meridian,Puyallup,WA,98371,53053073407,Retail,"$1,499,000","9,900 SF",C,1948/1983,Investment
LN-18436670,https://www.loopnet.com/Listing/1944-Milwaukee-Way-Tacoma-WA/18436670/,1944 Milwaukee Way,Tacoma,WA,98421,53053060200,Industrial,"$2,200,000","10,100SF",C,1964,OwnerUser
LN-18337628,https://www.loopnet.com/Listing/68317-SR-410-E-Enumclaw-WA/18337628/,68317 SR 410 E,Enumclaw,WA,98022,,Hospitality,"$5,250,000",N/A,B,1960,Investment
LN-18288967,https://www.loopnet.com/Listing/9402-Front-St-S-Lakewood-WA/18288967/,9402 Front St S,Lakewood,WA,98499,53053071808,Land,"$230,000",N/A,N/A,N/A,Investment
LN-18181205,https://www.loopnet.com/Listing/18811-38th-Ave-E-Tacoma-WA/18181205/,18811 38th Ave E,Tacoma,WA,98446,53053071412,Land,"$495,000",N/A,N/A,N/A,Investment
LN-18181149,https://www.loopnet.com/Listing/21509-Mountain-Hwy-E-Spanaway-WA/18181149/,21509 Mountain Hwy E,Spanaway,WA,98387,53053071411,Land,"$600,000",N/A,N/A,N/A,Investment
LN-17665091,https://www.loopnet.com/Listing/25-Year-CVS-Portfolio/17665091/,25-Year CVS Portfolio,N/A,N/A,N/A,,N/A,"$84,120,985",N/A,N/A,N/A,Investment
LN-17654193,https://www.loopnet.com/Listing/7519-48th-St-E-Fife-WA/17654193/,7519 48th St E,Fife,WA,98424,53053940010,Land,"$2,500,000",N/A,N/A,N/A,Investment
LN-17590723,https://www.loopnet.com/Listing/16017-60th-St-E-Sumner-WA/17590723/,16017 60th St E,Sumner,WA,98390,53053073301,Land,"$2,100,000",N/A,N/A,N/A,Investment
LN-17569293,https://www.loopnet.com/Listing/2401-N-Pearl-St-Tacoma-WA/17569293/,2401 N Pearl St,Tacoma,WA,98406,53053060906,Retail,"$4,740,000","43,327 SF",B,1986/1991,Investment NNN
LN-17033691,https://www.loopnet.com/Listing/412-23rd-St-Puyallup-WA/17033691/,412 23rd St,Puyallup,WA,98372,53053073406,Land,"$800,000",N/A,N/A,N/A,Investment
LN-16845083,https://www.loopnet.com/Listing/11721-Burnham-Dr-NW-Gig-Harbor-WA/16845083/,11721 Burnham Dr NW,Gig Harbor,WA,98332,,Land,"$295,000",N/A,N/A,N/A,InvestmentorOwnerUser
LN-16681285,https://www.loopnet.com/Listing/1502-6th-Ave-Tacoma-WA/16681285/,1502 6th Ave,Tacoma,WA,98405,53053061300,Retail,"$795,000","1,747 SF",C,1963,Investment
LN-16445283,https://www.loopnet.com/Listing/12221-Shaw-Rd-Puyallup-WA/16445283/,12221 Shaw Rd,Puyallup,WA,98374,53053071210,Land,"$2,300,000",N/A,N/A,N/A,OwnerUser
LN-15917729,https://www.loopnet.com/Listing/5814-176th-St-E-Puyallup-WA/15917729/,5814 176th St E,Puyallup,WA,98375,53053073128,Land,"$4,982,393",N/A,N/A,N/A,Investment
LN-15105812,https://www.loopnet.com/Listing/18202-Canyon-Rd-E-Puyallup-WA/15105812/,18202 Canyon Rd E,Puyallup,WA,98375,,Land,"$300,000",N/A,N/A,N/A,Investment
