CS_ID,Average Building Score,Address_Line,City,Postal_Code,Property_Type,Year_Built,Price,SquareFeet,$ per sq ft,Sale_Type,Block Group ID,Average Block Group Score,Population,Population: 3 Miles,Households: 3 Miles,Kids under 5,Percent Kids under 5,Kids under 5: 3 Miles,Percent Kids under 5: 3 Miles,Kids 5 to 9,Percent Kids 5 to 9,Kids 5 to 9: 3 Miles,Percent Kids 5 to 9: 3 Miles,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile
LN-14109212,4,401 E 15th St,Tacoma,98421,Specialty,1998,5750000,,,OwnerUser,5.30531E+11,2.5,2414,69923,27762,11,0.005,3905,0.056,6,0.002,3940,0.056,35,0.638,0.161,0.149,0.199,0.262,0.2,0.14,0.135,0.115
LN-14192655,2,11619 Pacific Hwy SW,Lakewood,98499,Retail,1963,700000,4208,166,Owner User,5.30531E+11,3,1312,73212,28276,111,0.085,5521,0.075,64,0.049,5157,0.07,26.9,0.438,0.104,0.097,0.097,0.12,0.059,0.04,0.023,0.022
LN-15108367,2,2512 Holgate St,Tacoma,98402,Industrial,1890,3895000,28800,135,Investment,5.30531E+11,2.5,816,107453,42360,26,0.032,6321,0.059,9,0.011,6903,0.064,35.3,0.734,0.192,0.165,0.209,0.253,0.192,0.096,0.098,0.062
LN-16122969,,23101 Mountain Hwy E,Spanaway,98387,Land,N/A,8000000,,,Investment,5.30531E+11,,1968,27752,9166,65,0.033,2174,0.078,131,0.067,2234,0.08,47.9,0.245,0.081,0.081,0.124,0.153,0.096,0.107,0.077,0.037
LN-16445283,1,12221 Shaw Rd,Puyallup,98374,Land,N/A,2300000,,,OwnerUser,5.30531E+11,4,3413,60854,22396,315,0.092,3809,0.063,189,0.055,3771,0.062,38.2,0.243,0.079,0.063,0.133,0.137,0.121,0.08,0.08,0.063
LN-16681285,2,1502 6th Ave,Tacoma,98405,Retail,1963,795000,1747,455,Investment,5.30531E+11,4,969,99509,42030,76,0.078,5208,0.052,72,0.074,5922,0.06,34,0.35,0.097,0.073,0.1,0.131,0.09,0.055,0.062,0.044
LN-17033691,1,412 23rd St,Puyallup,98372,Land,N/A,800000,,,Investment,5.30531E+11,3,2689,59798,23233,342,0.127,3598,0.06,237,0.088,3172,0.053,27.2,0.25,0.085,0.086,0.114,0.146,0.11,0.064,0.088,0.057
LN-17149505,2,5715 Wollochet Dr NW,Gig Harbor,98335,Office,1992,997950,6000,166,Owner User,5.30531E+11,3,1853,27355,10629,99,0.053,1288,0.047,99,0.053,1408,0.051,40.4,0.197,0.059,0.065,0.088,0.15,0.142,0.082,0.089,0.127
LN-17212434,,16313 60th St E,Sumner,98390,Land,N/A,799000,,,OwnerUser,5.30531E+11,,3396,46261,17586,244,0.072,3087,0.067,283,0.083,2735,0.059,26,0.195,0.088,0.092,0.106,0.153,0.119,0.07,0.1,0.077
LN-17569293,3,2401 N Pearl St,Tacoma,98406,Retail,1986/1991,4740000,43327,109,Investment NNN,5.30531E+11,4,811,91774,39281,53,0.065,5098,0.056,45,0.055,5331,0.058,49.3,0.307,0.087,0.072,0.103,0.135,0.101,0.063,0.068,0.063
LN-17692757,1,12716 86th Ave E,Puyallup,98373,Land,N/A,1150000,,,OwnerUser,5.30531E+11,4,1246,72712,26145,76,0.061,4402,0.061,73,0.059,4541,0.062,39.9,0.24,0.087,0.072,0.126,0.14,0.123,0.08,0.086,0.046
LN-17868872,1,16504 64th St E,Sumner,98390,Land,N/A,3200000,,,OwnerUser,5.30531E+11,3,1586,46139,17301,66,0.042,2892,0.063,96,0.061,2775,0.06,43.9,0.202,0.091,0.09,0.11,0.151,0.115,0.07,0.098,0.074
LN-18181149,3,21509 Mountain Hwy E,Spanaway,98387,Land,N/A,600000,,,Investment,5.30531E+11,3,1617,42406,13944,162,0.1,3340,0.079,100,0.062,3784,0.089,31.9,0.25,0.069,0.095,0.137,0.177,0.092,0.088,0.061,0.032
LN-18181205,3,18811 38th Ave E,Tacoma,98446,Land,N/A,495000,,,Investment,5.30531E+11,5,667,75025,24389,15,0.022,5703,0.076,21,0.031,6391,0.085,37.7,0.195,0.062,0.094,0.129,0.191,0.127,0.09,0.069,0.042
LN-18288967,3,9402 Front St S,Lakewood,98499,Land,N/A,230000,,,Investment,5.30531E+11,3.5,751,110890,41454,56,0.075,8821,0.08,112,0.149,8080,0.073,31.3,0.797,0.227,0.204,0.235,0.237,0.138,0.077,0.055,0.029
LN-18591703,3,5601 Soundview Dr,Gig Harbor,98335,Retail,1982,1780000,6686,266,Owner User,5.30531E+11,3,1853,27355,10629,99,0.053,1288,0.047,99,0.053,1408,0.051,40.4,0.197,0.059,0.065,0.088,0.15,0.142,0.082,0.089,0.127
LN-18710758,1,8217 S Hosmer St,Tacoma,98408,Land,N/A,1190000,,,Investment,5.30531E+11,3,905,137762,50662,42,0.046,10343,0.075,82,0.091,9921,0.072,45.6,0.385,0.116,0.106,0.116,0.126,0.076,0.033,0.026,0.015
LN-18729587,2,6722 Yakima Ave,Tacoma,98408,OfficeOfficeGeneral Retail Daycare CenterGeneral Retail StorefrontGeneral Retail Storefront Retail/OfficeOffice,1920/1994,629900,3226,195,Investment or Owner User,5.30531E+11,3,1274,127633,46364,103,0.081,9569,0.075,47,0.037,9690,0.076,43.1,0.383,0.115,0.101,0.116,0.13,0.078,0.037,0.026,0.015
LN-18771550,2.5,8217 S Hosmer St,Tacoma,98408,Land,N/A,1190000,,,Investment,5.30531E+11,,551,135760,49325,45,0.082,10254,0.076,12,0.022,10312,0.076,48.4,0.771,0.229,0.211,0.24,0.254,0.151,0.066,0.049,0.028
LN-18819368,1,16313 64th St E,Sumner,98390,Land,N/A,950000,,,Investment,5.30531E+11,2,909,42506,15896,13,0.014,2855,0.067,21,0.023,2461,0.058,56.5,0.192,0.091,0.092,0.106,0.149,0.122,0.07,0.099,0.08
LN-18918096,2,4412 6th Ave,Tacoma,98406,OfficeOfficeGeneral Retail Convenience StoreGeneral Retail RestaurantGeneral Retail Storefront Retail/OfficeOffice,1946/1981,695000,3648,191,Investment or Owner User,5.30531E+11,4,918,123058,52812,46,0.05,6869,0.056,51,0.056,7430,0.06,35.9,0.336,0.092,0.075,0.101,0.135,0.094,0.055,0.059,0.052
LN-19374344,3,2213 N Warner St,Tacoma,98406,Specialty,1909/1977,1100000,,,InvestmentorOwnerUser,5.30531E+11,3,712,92988,40399,42,0.059,5086,0.055,35,0.049,5189,0.056,44.8,0.331,0.087,0.069,0.1,0.129,0.097,0.062,0.068,0.055
LN-19626041,2,1824 S Meridian St,Puyallup,98371,Office,1975,575000,1728,333,Owner User,5.30531E+11,4,1853,76656,29210,138,0.074,4580,0.06,70,0.038,4040,0.053,33.7,0.259,0.088,0.077,0.126,0.137,0.115,0.064,0.081,0.053
