Block Group ID,Average Block Group Score,Population,Population: 3 Miles,Households: 3 Miles,Kids under 5,Percent Kids under 5,Kids under 5: 3 Miles,Percent Kids under 5: 3 Miles,Kids 5 to 9,Percent Kids 5 to 9,Kids 5 to 9: 3 Miles,Percent Kids 5 to 9: 3 Miles,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile
530330053014,,1419,283046,131999,0,0,12459,0.044,0,0,11194,0.04,23.5,0.206,0.056,0.059,0.079,0.115,0.105,0.083,0.11,0.187
530530724072,,1527,35248,15017,89,0.058,1919,0.054,113,0.074,1815,0.051,51.4,0.253,0.061,0.07,0.102,0.147,0.119,0.077,0.067,0.104
530330260023,,1492,107982,41676,15,0.01,6553,0.061,77,0.052,6559,0.061,33.7,0.262,0.079,0.076,0.104,0.136,0.122,0.064,0.08,0.077
530330026003,,1469,237001,100964,98,0.067,11989,0.051,124,0.084,10733,0.045,29.6,0.221,0.064,0.058,0.082,0.113,0.097,0.08,0.107,0.179
530330205005,,1456,108063,45079,191,0.131,6439,0.06,112,0.077,5449,0.05,29.7,0.268,0.069,0.068,0.082,0.142,0.105,0.074,0.101,0.091
530330227012,,1591,89442,38904,173,0.109,5074,0.057,26,0.016,4242,0.047,39.1,0.15,0.042,0.043,0.069,0.102,0.106,0.091,0.123,0.273
530330273003,,1450,117300,42027,193,0.133,8254,0.07,62,0.043,7589,0.065,34.4,0.329,0.103,0.091,0.094,0.127,0.092,0.065,0.055,0.044
530330077002,,1184,233732,120585,60,0.051,7647,0.033,10,0.008,6190,0.026,40.5,0.268,0.057,0.058,0.078,0.112,0.093,0.077,0.095,0.163
530330206004,,837,98602,40926,87,0.104,5716,0.058,96,0.115,4840,0.049,44.9,0.267,0.065,0.068,0.081,0.144,0.106,0.075,0.099,0.096
530330047001,,1293,234403,104815,28,0.022,11797,0.05,103,0.08,9539,0.041,40.9,0.194,0.06,0.06,0.09,0.118,0.104,0.09,0.11,0.173
530530719013,,867,75625,30386,0,0,6228,0.082,15,0.017,5242,0.069,60.8,0.418,0.113,0.098,0.11,0.111,0.063,0.04,0.025,0.022
530330010002,,1022,191229,80920,36,0.035,9889,0.052,111,0.109,9225,0.048,41.9,0.265,0.065,0.061,0.078,0.121,0.093,0.068,0.099,0.148
530330232021,,2168,91448,35823,191,0.088,5903,0.065,235,0.108,6059,0.066,33.9,0.171,0.047,0.049,0.078,0.116,0.121,0.076,0.127,0.215
