bg_geo_id,model_id,score,date_obtained
530330092001,2,3,3/8/2021
530330092002,2,3,3/8/2021
530330093001,2,3,3/8/2021
530330093002,2,3,3/8/2021
530330093003,2,3,3/8/2021
530330094001,2,3,3/8/2021
530330094002,2,3,3/8/2021
530330094003,2,3,3/8/2021
530330094004,2,3,3/8/2021
530330094005,2,3,3/8/2021
530330095001,2,3,3/8/2021
530330095002,2,3,3/8/2021
530330095003,2,3,3/8/2021
530330095004,2,3,3/8/2021
530330096001,2,3,3/8/2021
530330096002,2,3,3/8/2021
530330096003,2,3,3/8/2021
530330096004,2,3,3/8/2021
530330096005,2,3,3/8/2021
530330097011,2,3,3/8/2021
530330097012,2,3,3/8/2021
530330097013,2,3,3/8/2021
530330097014,2,3,3/8/2021
530330097021,2,3,3/8/2021
530330097022,2,3,3/8/2021
530330097023,2,3,3/8/2021
530330097024,2,3,3/8/2021
530330097025,2,3,3/8/2021
530330098001,2,3,3/8/2021
530330098002,2,3,3/8/2021
530330098003,2,3,3/8/2021
530330098004,2,3,3/8/2021
530330098005,2,3,3/8/2021
530330099001,2,3,3/8/2021
530330099002,2,3,3/8/2021
530330099003,2,3,3/8/2021
530330099004,2,3,3/8/2021
530330100011,2,3,3/8/2021
530330100012,2,3,3/8/2021
530330100013,2,3,3/8/2021
530330100021,2,3,3/8/2021
530330100022,2,3,3/8/2021
530330100023,2,3,3/8/2021
530330100024,2,3,3/8/2021
530330101001,2,3,3/8/2021
530330101002,2,3,3/8/2021
530330101003,2,3,3/8/2021
530330101004,2,3,3/8/2021
530330101005,2,3,3/8/2021
530330102001,2,3,3/8/2021
530330102002,2,3,3/8/2021
530330102003,2,3,3/8/2021
530330102004,2,3,3/8/2021
530330103001,2,3,3/8/2021
530330103002,2,3,3/8/2021
530330103003,2,3,3/8/2021
530330103004,2,3,3/8/2021
530330103005,2,3,3/8/2021
530330104011,2,3,3/8/2021
530330104012,2,3,3/8/2021
530330104013,2,3,3/8/2021
530330104021,2,3,3/8/2021
530330104022,2,3,3/8/2021
530330104023,2,3,3/8/2021
530330104024,2,3,3/8/2021
530330105001,2,3,3/8/2021
530330105002,2,3,3/8/2021
530330105003,2,3,3/8/2021
530330105004,2,3,3/8/2021
530330105005,2,3,3/8/2021
530330106001,2,3,3/8/2021
530330106002,2,3,3/8/2021
530330106003,2,3,3/8/2021
530330106004,2,3,3/8/2021
530330106005,2,3,3/8/2021
530330106006,2,3,3/8/2021
530330107011,2,3,3/8/2021
530330107012,2,3,3/8/2021
530330107021,2,3,3/8/2021
530330107022,2,3,3/8/2021
530330107023,2,3,3/8/2021
530330108001,2,3,3/8/2021
530330108002,2,3,3/8/2021
530330108003,2,3,3/8/2021
530330109001,2,3,3/8/2021
530330109002,2,3,3/8/2021
530330110011,2,3,3/8/2021
530330110012,2,3,3/8/2021
530330110013,2,3,3/8/2021
530330110021,2,3,3/8/2021
530330110022,2,3,3/8/2021
530330110023,2,3,3/8/2021
530330111011,2,3,3/8/2021
530330111012,2,3,3/8/2021
530330111013,2,3,3/8/2021
530330111014,2,3,3/8/2021
530330111021,2,3,3/8/2021
530330111022,2,3,3/8/2021
530330111023,2,3,3/8/2021
530330111024,2,3,3/8/2021
530330112001,2,3,3/8/2021
530330112002,2,3,3/8/2021
530330112003,2,3,3/8/2021
530330113001,2,3,3/8/2021
530330113002,2,3,3/8/2021
530330113003,2,3,3/8/2021
530330113004,2,3,3/8/2021
530330113005,2,3,3/8/2021
530330114011,2,3,3/8/2021
530330114012,2,3,3/8/2021
530330114013,2,3,3/8/2021
530330114021,2,3,3/8/2021
530330114022,2,3,3/8/2021
530330114023,2,3,3/8/2021
530330115001,2,3,3/8/2021
530330115002,2,3,3/8/2021
530330115003,2,3,3/8/2021
530330116001,2,3,3/8/2021
530330116002,2,3,3/8/2021
530330116003,2,3,3/8/2021
530330116004,2,3,3/8/2021
530330116005,2,3,3/8/2021
530330116006,2,3,3/8/2021
530330117001,2,3,3/8/2021
530330117002,2,3,3/8/2021
530330117003,2,3,3/8/2021
530330117004,2,3,3/8/2021
530330118001,2,3,3/8/2021
530330118002,2,3,3/8/2021
530330118003,2,3,3/8/2021
530330118004,2,3,3/8/2021
530330118005,2,3,3/8/2021
530330118006,2,3,3/8/2021
530330119001,2,3,3/8/2021
530330119002,2,3,3/8/2021
530330119003,2,3,3/8/2021
530330119004,2,3,3/8/2021
530330119005,2,3,3/8/2021
