"Block.Group.ID","Average.Block.Group.Score","Population","Population.3.Mile","Households.3.Mile","Percent.Kids.under.5","Percent.Kids.under.5.3.Mile","Percent.Kids.5.to.9","Percent.Kids.5.to.9.3 Mile","Average.Age","Household.income.under.40K.3Mile","Household.income.40K.to.50K.3.Mile","Household.income.50K.to.60K.3.Mile","Household.income.60K.to.75K.3.Mile","Household.income.75K.to.100K.3.Mile","Household.income.100:.125K.3.Mile","Household.income.125K.to.150K.3.Mile","Household.income.150K.to.200K.3.Mile","Household.income.200K+.3Mile","Score"
"530530734082",NA,1039,59154,23026,0.042,0.058,0.03,0.057,45.6,0.256,0.087,0.09,0.118,0.149,0.107,0.061,0.084,0.048,3.11514481847479
"530530714102",NA,1372,39531,13080,0.066,0.07,0.069,0.089,31.6,0.241,0.071,0.098,0.142,0.187,0.086,0.083,0.058,0.034,3.48965202091179
"530330242001",NA,1567,74206,33287,0.027,0.046,0.045,0.052,46.1,0.155,0.038,0.041,0.055,0.101,0.106,0.084,0.109,0.311,3.23525676759775
"530330062001",NA,1772,255562,124904,0.068,0.036,0.051,0.032,34.1,0.245,0.053,0.059,0.078,0.113,0.093,0.08,0.102,0.176,3.07459070458348
"530330304014",NA,1538,74020,27010,0.127,0.072,0.168,0.068,32.6,0.293,0.084,0.094,0.131,0.134,0.091,0.069,0.061,0.044,3.96526641449224
"530330303051",NA,1665,61538,21937,0.157,0.064,0.073,0.068,37.3,0.203,0.084,0.076,0.099,0.151,0.127,0.096,0.086,0.077,4.99767250866806
"530330319073",NA,2678,90179,32982,0.05,0.065,0.063,0.069,35.6,0.186,0.073,0.076,0.111,0.152,0.13,0.081,0.106,0.085,3.20696342015822
"530330321034",NA,1149,44562,17803,0.085,0.065,0.092,0.059,35.3,0.156,0.045,0.052,0.073,0.117,0.105,0.09,0.126,0.234,4.58840650321641
"530330110012",NA,1121,106166,38777,0.043,0.06,0.009,0.062,54,0.303,0.07,0.071,0.077,0.11,0.091,0.075,0.084,0.12,3.43081518898024
"530330201001",NA,1286,51260,21035,0.034,0.058,0.072,0.045,54.3,0.259,0.062,0.065,0.087,0.134,0.117,0.076,0.104,0.097,3.91426722125766
"530330314002",NA,1353,12727,5293,0.013,0.034,0.046,0.066,50.4,0.305,0.093,0.123,0.09,0.114,0.106,0.041,0.085,0.042,2.95005390373746
"530330301006",NA,881,79953,29506,0.04,0.062,0.072,0.065,36.4,0.261,0.08,0.074,0.105,0.135,0.114,0.087,0.078,0.066,2.86778670911101
"530330012005",NA,1320,204406,87489,0.013,0.057,0.011,0.05,30.5,0.24,0.062,0.064,0.085,0.119,0.101,0.077,0.106,0.146,2.5539862758118
"530330294051",NA,1361,102316,35175,0.045,0.066,0.046,0.062,36.8,0.2,0.076,0.084,0.117,0.151,0.12,0.086,0.095,0.071,2.80222314825848
"530330065001",NA,1468,290116,145083,0.11,0.035,0.032,0.03,41.6,0.25,0.058,0.06,0.077,0.114,0.095,0.08,0.096,0.169,1.75687145267174
"530530726013",NA,2278,7169,2377,0.067,0.068,0.076,0.069,34.6,0.187,0.084,0.061,0.09,0.162,0.13,0.103,0.126,0.057,5.25369053099583
