CS_ID,url,address,Property_info
LN-21112028,https://www.loopnet.com/Listing/10201-29th-St-E-Puyallup-WA/21112028/,"10201 29th St E, Puyallup, WA 98371","{'Price': '$550,000', 'ProposedUse': 'CommercialIndustrialRetailOfficeMixedUseMultifamily', 'SaleType': 'Investment', 'TotalLotSize': '1.38AC', 'No.Lots': '1', 'CrossStreets': 'MeridianAveE', 'PropertyType': 'Land', 'OpportunityZone': 'No', 'PropertySubtype': 'Commercial', '': ''}"
LN-21099885,https://www.loopnet.com/Listing/1950-S-State-St-Tacoma-WA/21099885/,"1950 S State St, Tacoma, WA 98405","{'Price': '$17,250,000', 'No.Stories': '2', 'PricePerSF': '$71', 'YearBuilt': '1974', 'SaleType': 'InvestmentorOwnerUser', 'Tenancy': 'Single', 'PropertyType': 'Flex', 'ParkingRatio': '1.65/1,000SF', 'PropertySubtype': 'LightManufacturing', 'ClearCeilingHeight': '14FT-22FT', 'BuildingClass': 'B', 'No.Dock-HighDoors/Loading': '13', 'LotSize': '13.47AC', 'No.DriveIn/Grade-LevelDoors': '1', 'RentableBuildingArea': '242,000SF', 'OpportunityZone': 'No'}"
LN-21081765,https://www.loopnet.com/Listing/119-Mashell-Ave-S-Eatonville-WA/21081765/,"119 Mashell Ave S, Eatonville, WA 98328","{'Sale Type': 'Investment', 'Property Type': 'Retail', 'Property Subtype': 'BarBarGeneral Retail RestaurantBar', 'Building Size': '1,464 SF', 'Building Class': 'B', 'Year Built/Renovated': '1950/2020', 'Price': '$359,000', 'Price Per SF': '$245', 'Tenancy': 'Single', 'Building Height': '1 Story', 'Building FAR': '0.42', 'Land Acres': '0.08 AC'}"
LN-21058749,https://www.loopnet.com/Listing/4201-S-Steele-St-Tacoma-WA/21058749/,"4201 S Steele St, Tacoma, WA 98409","{'Sale Type': 'Owner User', 'Property Type': 'Retail', 'Property Subtype': 'Restaurant', 'Building Size': '6,737 SF', 'Building Class': 'B', 'Year Built': '1993', 'Price': '$3,300,000', 'Price Per SF': '$490', 'Tenancy': 'Single', 'Building Height': '1 Story', 'Building FAR': '0.16', 'Land Acres': '0.95 AC'}"
LN-21027824,https://www.loopnet.com/Listing/215-23rd-Ave-SW-Puyallup-WA/21027824/,"215 23rd Ave SW, Puyallup, WA 98371","{'Price': '$4,100,000', 'BuildingClass': 'C', 'PricePerUnit': '$273,333', 'LotSize': '0.88AC', 'SaleType': 'Investment', 'BuildingSize': '20,060SF', 'CapRate': '5.15%', 'AverageOccupancy': '100%', 'GrossRentMultiplier': '12.6', 'No.Stories': '3', 'No.Units': '15', 'YearBuilt': '1993', 'PropertyType': 'Multifamily', 'ParkingRatio': '1.84/1,000SF', 'PropertySubtype': 'Apartment', 'OpportunityZone': 'No', 'ApartmentStyle': 'LowRise', '': ''}"
LN-20994297,https://www.loopnet.com/Listing/216-220-Puyallup-Ave-Tacoma-WA/20994297/,"216-220 Puyallup Ave, Tacoma, WA 98421","{'Price': '$3,995,000', 'LotSize': '0.41AC', 'PricePerSF': '$121', 'BuildingSize': '32,892SF', 'SaleType': 'Investment', 'No.Stories': '4', 'CapRate': '4.56%', 'YearBuilt/Renovated': '1907/1987', 'PropertyType': 'Specialty', 'ParkingRatio': '0.46/1,000SF', 'PropertySubtype': 'Self-Storage', 'OpportunityZone': 'No', 'BuildingClass': 'C', '': ''}"
LN-20956338,https://www.loopnet.com/Listing/4404-S-Meridian-Puyallup-WA/20956338/,"4404 S Meridian, Puyallup, WA 98373","{'Sale Type': 'Investment', 'Property Type': 'Retail', 'Property Subtype': 'Drug StoreDrug StoreGeneral Retail FreestandingDrug Store', 'Building Size': '14,355 SF', 'Year Built': '2002', 'Price': '$6,230,000', 'Price Per SF': '$434', 'Cap Rate': '6.50%', 'Year-1 NOI': '$405,000', 'Percent Leased': '100%', 'Building Height': '1 Story', 'Building FAR': '0.24', 'Land Acres': '1.35 AC'}"
LN-20769216,https://www.loopnet.com/Listing/8113-John-Dower-Rd-SW-Lakewood-WA/20769216/,"8113 John Dower Rd SW, Lakewood, WA 98499","{'Price': '$1,950,000', 'ApartmentStyle': 'Garden', 'PricePerUnit': '$195,000', 'BuildingClass': 'C', 'SaleType': 'Investment', 'LotSize': '1.91AC', 'CapRate': '5.64%', 'BuildingSize': '13,372SF', 'GrossRentMultiplier': '11.2', 'No.Stories': '2', 'No.Units': '10', 'YearBuilt/Renovated': '1965/1978', 'PropertyType': 'Multifamily', 'ParkingRatio': '0.37/1,000SF', 'PropertySubtype': 'Apartment', 'OpportunityZone': 'No'}"
LN-20742136,https://www.loopnet.com/Listing/9810-Pacific-Ave-Tacoma-WA/20742136/,"9810 Pacific Ave, Tacoma, WA 98444","{'Sale Type': 'Investment', 'Property Type': 'Retail', 'Property Subtype': 'Fast Food', 'Building Size': '1,682 SF', 'Building Class': 'B', 'Year Built': '2017', 'Price': '$2,350,000', 'Price Per SF': '$1,397', 'Cap Rate': '5.49%', 'Year-1 NOI': '$129,000', 'Tenancy': 'Single', 'Building Height': '1 Story', 'Building FAR': '0.04', 'Land Acres': '0.93 AC'}"
LN-20733602,https://www.loopnet.com/Listing/8405-Pacific-Ave-Tacoma-WA/20733602/,"8405 Pacific Ave, Tacoma, WA 98444","{'Sale Type': 'Investment', 'Property Type': 'Retail', 'Property Subtype': 'Drug Store', 'Building Size': '14,000 SF', 'Building Class': 'C', 'Year Built': '1997', 'Price': '$4,100,000', 'Price Per SF': '$293', 'Tenancy': 'Single', 'Building Height': '1 Story', 'Building FAR': '0.22', 'Land Acres': '1.46 AC'}"
