CS_ID,url,Address_Line,City,State,Postal_Code,GeoCode,Property_Type,Price,SquareFeet,Building_Class,Year_Built,Parking_Ratio,Sale_Type
LN-17654193,https://www.loopnet.com/Listing/7519-48th-St-E-Fife-WA/17654193/,7519 48th St E,Fife,WA,98424,53053940010,Land,2500000,,N/A,N/A,N/A,Investment
LN-17590723,https://www.loopnet.com/Listing/16017-60th-St-E-Sumner-WA/17590723/,16017 60th St E,Sumner,WA,98390,53053073301,Land,2100000,,N/A,N/A,N/A,Investment
LN-17033691,https://www.loopnet.com/Listing/412-23rd-St-Puyallup-WA/17033691/,412 23rd St,Puyallup,WA,98372,53053073406,Land,800000,,N/A,N/A,N/A,Investment
LN-16845083,https://www.loopnet.com/Listing/11721-Burnham-Dr-NW-Gig-Harbor-WA/16845083/,11721 Burnham Dr NW,Gig Harbor,WA,98332,,Land,295000,,N/A,N/A,N/A,InvestmentorOwnerUser
LN-16681285,https://www.loopnet.com/Listing/1502-6th-Ave-Tacoma-WA/16681285/,1502 6th Ave,Tacoma,WA,98405,53053061300,Retail,795000,1747,C,1963,N/A,Investment
LN-16445283,https://www.loopnet.com/Listing/12221-Shaw-Rd-Puyallup-WA/16445283/,12221 Shaw Rd,Puyallup,WA,98374,53053071210,Land,2300000,,N/A,N/A,N/A,OwnerUser
LN-16434342,https://www.loopnet.com/Listing/5019-E-Valley-Hwy-E-Sumner-WA/16434342/,5019 E Valley Hwy E,Sumner,WA,98390,53053073301,Land,450000,,N/A,N/A,N/A,OwnerUser
LN-15917729,https://www.loopnet.com/Listing/5814-176th-St-E-Puyallup-WA/15917729/,5814 176th St E,Puyallup,WA,98375,53053073128,Land,4982393,,N/A,N/A,N/A,Investment
LN-15190913,https://www.loopnet.com/Listing/2725-Henry-Rd-Tacoma-WA/15190913/,2725 Henry Rd,Tacoma,WA,98403,53053060600,Land,990000,,N/A,N/A,N/A,Investment
LN-15105812,https://www.loopnet.com/Listing/18202-Canyon-Rd-E-Puyallup-WA/15105812/,18202 Canyon Rd E,Puyallup,WA,98375,,Land,300000,,N/A,N/A,N/A,Investment
LN-14295916,https://www.loopnet.com/Listing/11605-Pacific-Hwy-SW-Lakewood-WA/14295916/,11605 Pacific Hwy SW,Lakewood,WA,98499,53053071806,Retail,700000,4208,C,1963,N/A,Owner User
LN-14192655,https://www.loopnet.com/Listing/11619-Pacific-Hwy-SW-Lakewood-WA/14192655/,11619 Pacific Hwy SW,Lakewood,WA,98499,53053071806,Retail,700000,4208,C,1963,N/A,Owner User
LN-14109212,https://www.loopnet.com/Listing/401-E-15th-St-Tacoma-WA/14109212/,401 E 15th St,Tacoma,WA,98421,53053060200,Specialty,5750000,,C,1998,N/A,OwnerUser
LN-13929508,https://www.loopnet.com/Listing/18426-Veterans-Memorial-Hwy-Bonney-Lake-WA/13929508/,18426 Veterans Memorial Hwy,Bonney Lake,WA,98391,,Land,450000,,N/A,N/A,N/A,Investment
LN-12239208,https://www.loopnet.com/Listing/6902-27th-St-W-University-Place-WA/12239208/,6902 27th St W,University Place,WA,98466,53053072311,Land,3430350,,N/A,N/A,N/A,Investment
LN-12197308,https://www.loopnet.com/Listing/601-609-Tacoma-Ave-S-Tacoma-WA/12197308/,601-609 Tacoma Ave S,Tacoma,WA,98402,53053061501,Office,990000,4628,C,1968,N/A,Owner User
LN-11150078,https://www.loopnet.com/Listing/5408-Steilacoom-Blvd-SW-Lakewood-WA/11150078/,5408 Steilacoom Blvd SW,Lakewood,WA,98499,53053071807,Retail,365000,4400,B,1927/1978,N/A,Owner User
LN-/8895301,https://www.loopnet.com/Listing/176th-St-Puyallup-WA/8895301/,176th St,Puyallup,WA,98375,,Land,692000,,N/A,N/A,N/A,InvestmentorOwnerUser
LN-/7336077,https://www.loopnet.com/Listing/12111-Pacific-Hwy-S-Lakewood-WA/7336077/,12111 Pacific Hwy S,Lakewood,WA,98499,53053071806,Land,1350000,,N/A,N/A,N/A,Investment
