CS_ID,url,address,Property Type,Price,Square Feet,Building Class,Year Built,Sale Type
LN-/3958478,https://www.loopnet.com/Listing/3230-N-Narrows-Dr-Tacoma-WA/3958478/,"3230 N Narrows Dr, Tacoma, WA 98407",Land,"$7,900,000",N/A,N/A,N/A,Investment
LN-/3945583,https://www.loopnet.com/Listing/19406-Mountain-Hwy-E-Spanaway-WA/3945583/,"19406 Mountain Hwy E, Spanaway, WA 98387",Land,"$5,400,000",N/A,N/A,N/A,Investment
LN-/3911031,https://www.loopnet.com/Listing/16611-Canyon-Rd-E-Puyallup-WA/3911031/,"16611 Canyon Rd E, Puyallup, WA 98375",Land,"$4,000,000",N/A,N/A,N/A,Investment
LN-/3857046,https://www.loopnet.com/Listing/Military-Rd-E-Edgewood-WA/3857046/,"Military Rd E, Edgewood, WA 98372",Land,"$990,000",N/A,N/A,N/A,Investment
LN-/3839013,https://www.loopnet.com/Listing/8306-8314-166th-St-E-Puyallup-WA/3839013/,"8306-8314 166th St E, Puyallup, WA 98375",Land,"$995,000",N/A,N/A,N/A,Investment
LN-/3788534,https://www.loopnet.com/Listing/4723-E-Freeman-Rd-Puyallup-WA/3788534/,"4723 E Freeman Rd, Puyallup, WA 98371",Land,"$1,650,000",N/A,N/A,N/A,Investment
LN-/3726167,https://www.loopnet.com/Listing/1123-Pacific-Ave-Tacoma-WA/3726167/,"1123 Pacific Ave, Tacoma, WA 98402",Office,"$4,975,000","26,804 SF",B,1919/2007,Investment or Owner User
LN-21490344,https://www.loopnet.com/Listing/10002-Steele-St-Tacoma-WA/21490344/,"10002 Steele St, Tacoma, WA 98444",Industrial,N/A,"128,441SF",A,2021,InvestmentorOwnerUser
LN-21229150,https://www.loopnet.com/Listing/3727-112th-St-SW-Lakewood-WA/21229150/,"3727 112th St SW, Lakewood, WA 98499",Industrial,N/A,"17,673SF",C,1992,OwnerUser
LN-20921986,https://www.loopnet.com/Listing/821-Dock-St-Tacoma-WA/20921986/,"821 Dock St, Tacoma, WA 98402",Industrial,N/A,"24,442SF",B,1980,Investment
LN-19771017,https://www.loopnet.com/Listing/State-Route-7-Spanaway-WA/19771017/,"State Route 7, Spanaway, WA 98387",Land,N/A,N/A,N/A,N/A,InvestmentorOwnerUser
LN-17213558,https://www.loopnet.com/Listing/Cedar-Plaza/17213558/,Cedar Plaza,N/A,N/A,N/A,N/A,N/A,Investment
LN-14058037,https://www.loopnet.com/Listing/Portfolio-Sale-of-2-Lakewood-Properties/14058037/,Portfolio of 2 Properties,N/A,N/A,N/A,N/A,N/A,InvestmentorOwnerUser
LN-/3884778,https://www.loopnet.com/Listing/5412-176th-St-E-Puyallup-WA/3884778/,"5412 176th St E, Puyallup, WA 98375",Land,N/A,N/A,N/A,N/A,OwnerUser
LN-/3833911,https://www.loopnet.com/Listing/35026-90th-Ave-S-Roy-WA/3833911/,"35026 90th Ave S, Roy, WA 98580",Land,N/A,N/A,N/A,N/A,Investment
LN-21413607,https://www.loopnet.com/Listing/12505-Canyon-Rd-E-Puyallup-WA/21413607/,"12505 Canyon Rd E, Puyallup, WA 98373",Land,"$740,520",N/A,N/A,N/A,Investment
LN-21165916,https://www.loopnet.com/Listing/10012-225th-St-Ct-Graham-WA/21165916/,"10012 225th St Ct, Graham, WA 98338",Land,"$475,000",N/A,N/A,N/A,InvestmentorOwnerUser
LN-20661404,https://www.loopnet.com/Listing/2717-Pioneer-Way-Tacoma-WA/20661404/,"2717 Pioneer Way, Tacoma, WA 98404",Land,"$175,000",N/A,N/A,N/A,OwnerUser
LN-20509898,https://www.loopnet.com/Listing/16305-60th-St-E-Sumner-WA/20509898/,"16305 60th St E, Sumner, WA 98390",Land,"$600,000",N/A,N/A,N/A,Investment
LN-19938315,https://www.loopnet.com/Listing/30-Acres-in-Pierce-County-Graham-WA/19938315/,"30 Acres in Pierce County, Graham, WA 98338",Land,"$1,000,000",N/A,N/A,N/A,Investment
LN-12937242,https://www.loopnet.com/Listing/1313-Meridian-Ave-E-Milton-WA/12937242/,"1313 Meridian Ave E, Milton, WA 98354",Land,"$1,536,150",N/A,N/A,N/A,Investment
LN-12170223,https://www.loopnet.com/Listing/20115-20317-Meridian-Ave-E-Graham-WA/12170223/,"20115-20317 Meridian Ave E, Graham, WA 98338",Land,"$1,000,000",N/A,N/A,N/A,Investment
LN-11493457,https://www.loopnet.com/Listing/NW-Freeman-Rd-26th-St-Fife-WA/11493457/,"NW Freeman Rd & 26th St, Fife, WA 98424",Land,N/A,N/A,N/A,N/A,Investment
LN-11124983,https://www.loopnet.com/Listing/524-Meridian-Ave-Milton-WA/11124983/,"524 Meridian Ave, Milton, WA 98354",Land,N/A,N/A,N/A,N/A,Investment
LN-/8625418,https://www.loopnet.com/Listing/123-150th-Ct-S-Tacoma-WA/8625418/,"123 150th Ct S, Tacoma, WA 98445",Land,N/A,N/A,N/A,N/A,Investment
LN-/6476655,https://www.loopnet.com/Listing/1614-19th-Ave-SE-Puyallup-WA/6476655/,"1614 19th Ave SE, Puyallup, WA 98372",Land,"$1,875,000",N/A,N/A,N/A,Investment
LN-/3934491,https://www.loopnet.com/Listing/14401-Pacific-Ave-Tacoma-WA/3934491/,"14401 Pacific Ave, Tacoma, WA 98444",Land,N/A,N/A,N/A,N/A,Investment
LN-/3828488,https://www.loopnet.com/Listing/1201-39th-Ave-SW-Puyallup-WA/3828488/,"1201 39th Ave SW, Puyallup, WA 98373",Land,"$2,850,000",N/A,N/A,N/A,Investment
